Name;Description;Geometry;id;nom;lat;lon;n_rue;rue;ville;cp;date_creation;date_modification;tempsdecollecte;poidsmax;instructions;geo_point_2d
16088;<center><table><tr bgcolor='#E3E3F3'><th>Id</th><td>241507</td></tr><tr bgcolor='#E3E3F3'><th>Nom</th><td>16088</td></tr><tr bgcolor='#E3E3F3'><th>Lat.</th><td>50.0335</td></tr><tr bgcolor='#E3E3F3'><th>Lon.</th><td>4.92657</td></tr><tr bgcolor='#E3E3F3'><th>N° rue</th><td>7</td></tr><tr bgcolor='#E3E3F3'><th>Rue</th><td>Rue de Winenne</td></tr><tr bgcolor='#E3E3F3'><th>Commune</th><td>Gedinne</td></tr><tr bgcolor='#E3E3F3'><th>Code postal</th><td>5575</td></tr><tr bgcolor='#E3E3F3'><th>Date création</th><td>2019-08-20 08:34:18</td></tr><tr bgcolor='#E3E3F3'><th>Date modification</th><td>2019-09-14 02:15:07</td></tr><tr bgcolor='#E3E3F3'><th>Temps de collecte</th><td>60</td></tr><tr bgcolor='#E3E3F3'><th>Poids max</th><td>900</td></tr><tr bgcolor='#E3E3F3'><th>Instructions</th><td>Croisement rue Grande</td></tr></table></center>;"{""coordinates"": [4.92657, 50.0335], ""type"": ""Point""}";241507;16088;50.0335;4.92657;7;Rue de Winenne;Gedinne;5575;2019-08-20 08:34:18;2019-09-14 02:15:07;60;900;Croisement rue Grande;50.0335,4.92657
12028;<center><table><tr bgcolor='#E3E3F3'><th>Id</th><td>32123</td></tr><tr bgcolor='#E3E3F3'><th>Nom</th><td>12028</td></tr><tr bgcolor='#E3E3F3'><th>Lat.</th><td>50.5233</td></tr><tr bgcolor='#E3E3F3'><th>Lon.</th><td>5.00759</td></tr><tr bgcolor='#E3E3F3'><th>N° rue</th><td>13</td></tr><tr bgcolor='#E3E3F3'><th>Rue</th><td>RUE SAINT-ROCH</td></tr><tr bgcolor='#E3E3F3'><th>Commune</th><td>FERNELMONT</td></tr><tr bgcolor='#E3E3F3'><th>Code postal</th><td>5380</td></tr><tr bgcolor='#E3E3F3'><th>Date création</th><td>2014-06-25 15:02:41</td></tr><tr bgcolor='#E3E3F3'><th>Date modification</th><td>2015-08-21 09:57:21</td></tr><tr bgcolor='#E3E3F3'><th>Temps de collecte</th><td>300</td></tr><tr bgcolor='#E3E3F3'><th>Poids max</th><td>900</td></tr><tr bgcolor='#E3E3F3'><th>Instructions</th><td>Rue Saint-Roch</td></tr></table></center>;"{""coordinates"": [5.00759, 50.5233], ""type"": ""Point""}";32123;12028;50.5233;5.00759;13;RUE SAINT-ROCH;FERNELMONT;5380;2014-06-25 15:02:41;2015-08-21 09:57:21;300;900;Rue Saint-Roch;50.5233,5.00759
27428;<center><table><tr bgcolor='#E3E3F3'><th>Id</th><td>32217</td></tr><tr bgcolor='#E3E3F3'><th>Nom</th><td>27428</td></tr><tr bgcolor='#E3E3F3'><th>Lat.</th><td>50.4811</td></tr><tr bgcolor='#E3E3F3'><th>Lon.</th><td>4.87987</td></tr><tr bgcolor='#E3E3F3'><th>N° rue</th><td>12</td></tr><tr bgcolor='#E3E3F3'><th>Rue</th><td>RUE CHARLES BOUVIER</td></tr><tr bgcolor='#E3E3F3'><th>Commune</th><td>NAMUR</td></tr><tr bgcolor='#E3E3F3'><th>Code postal</th><td>5004</td></tr><tr bgcolor='#E3E3F3'><th>Date création</th><td>2014-06-25 15:02:49</td></tr><tr bgcolor='#E3E3F3'><th>Date modification</th><td>2015-08-21 09:57:21</td></tr><tr bgcolor='#E3E3F3'><th>Temps de collecte</th><td>300</td></tr><tr bgcolor='#E3E3F3'><th>Poids max</th><td>900</td></tr><tr bgcolor='#E3E3F3'><th>Instructions</th><td>Rue Charles Bouvier</td></tr></table></center>;"{""coordinates"": [4.87987, 50.4811], ""type"": ""Point""}";32217;27428;50.4811;4.87987;12;RUE CHARLES BOUVIER;NAMUR;5004;2014-06-25 15:02:49;2015-08-21 09:57:21;300;900;Rue Charles Bouvier;50.4811,4.87987
9087;<center><table><tr bgcolor='#E3E3F3'><th>Id</th><td>251841</td></tr><tr bgcolor='#E3E3F3'><th>Nom</th><td>9087</td></tr><tr bgcolor='#E3E3F3'><th>Lat.</th><td>50.2032</td></tr><tr bgcolor='#E3E3F3'><th>Lon.</th><td>4.89379</td></tr><tr bgcolor='#E3E3F3'><th>N° rue</th><td>83</td></tr><tr bgcolor='#E3E3F3'><th>Rue</th><td>Place Roger Bodart</td></tr><tr bgcolor='#E3E3F3'><th>Commune</th><td>Dinant</td></tr><tr bgcolor='#E3E3F3'><th>Code postal</th><td>5500</td></tr><tr bgcolor='#E3E3F3'><th>Date création</th><td>2019-09-13 08:41:53</td></tr><tr bgcolor='#E3E3F3'><th>Date modification</th><td></td></tr><tr bgcolor='#E3E3F3'><th>Temps de collecte</th><td>300</td></tr><tr bgcolor='#E3E3F3'><th>Poids max</th><td>900</td></tr><tr bgcolor='#E3E3F3'><th>Instructions</th><td>Place Roger Bodar</td></tr></table></center>;"{""coordinates"": [4.89379, 50.2032], ""type"": ""Point""}";251841;9087;50.2032;4.89379;83;Place Roger Bodart;Dinant;5500;2019-09-13 08:41:53;;300;900;Place Roger Bodar;50.2032,4.89379
27398;<center><table><tr bgcolor='#E3E3F3'><th>Id</th><td>32126</td></tr><tr bgcolor='#E3E3F3'><th>Nom</th><td>27398</td></tr><tr bgcolor='#E3E3F3'><th>Lat.</th><td>50.4624</td></tr><tr bgcolor='#E3E3F3'><th>Lon.</th><td>4.87999</td></tr><tr bgcolor='#E3E3F3'><th>N° rue</th><td></td></tr><tr bgcolor='#E3E3F3'><th>Rue</th><td>AVENUE PRINCE DE LIÈGE</td></tr><tr bgcolor='#E3E3F3'><th>Commune</th><td>NAMUR</td></tr><tr bgcolor='#E3E3F3'><th>Code postal</th><td>5100</td></tr><tr bgcolor='#E3E3F3'><th>Date création</th><td>2014-06-25 15:02:42</td></tr><tr bgcolor='#E3E3F3'><th>Date modification</th><td>2015-08-21 09:57:21</td></tr><tr bgcolor='#E3E3F3'><th>Temps de collecte</th><td>300</td></tr><tr bgcolor='#E3E3F3'><th>Poids max</th><td>900</td></tr><tr bgcolor='#E3E3F3'><th>Instructions</th><td>Chaussée de Liège</td></tr></table></center>;"{""coordinates"": [4.87999, 50.4624], ""type"": ""Point""}";32126;27398;50.4624;4.87999;;AVENUE PRINCE DE LIÈGE;NAMUR;5100;2014-06-25 15:02:42;2015-08-21 09:57:21;300;900;Chaussée de Liège;50.4624,4.87999
20044;<center><table><tr bgcolor='#E3E3F3'><th>Id</th><td>32222</td></tr><tr bgcolor='#E3E3F3'><th>Nom</th><td>20044</td></tr><tr bgcolor='#E3E3F3'><th>Lat.</th><td>50.222</td></tr><tr bgcolor='#E3E3F3'><th>Lon.</th><td>4.81994</td></tr><tr bgcolor='#E3E3F3'><th>N° rue</th><td>33</td></tr><tr bgcolor='#E3E3F3'><th>Rue</th><td>RUE D'ANTHÉE</td></tr><tr bgcolor='#E3E3F3'><th>Commune</th><td>HASTIÈRE</td></tr><tr bgcolor='#E3E3F3'><th>Code postal</th><td>5540</td></tr><tr bgcolor='#E3E3F3'><th>Date création</th><td>2014-06-25 15:02:49</td></tr><tr bgcolor='#E3E3F3'><th>Date modification</th><td>2020-02-20 10:28:20</td></tr><tr bgcolor='#E3E3F3'><th>Temps de collecte</th><td>300</td></tr><tr bgcolor='#E3E3F3'><th>Poids max</th><td>1400</td></tr><tr bgcolor='#E3E3F3'><th>Instructions</th><td>Rue d\'Anthée (Cimetière - Tahaut)</td></tr></table></center>;"{""coordinates"": [4.81994, 50.222], ""type"": ""Point""}";32222;20044;50.222;4.81994;33;RUE D'ANTHÉE;HASTIÈRE;5540;2014-06-25 15:02:49;2020-02-20 10:28:20;300;1400;Rue d\'Anthée (Cimetière - Tahaut);50.222,4.81994
08086;<center><table><tr bgcolor='#E3E3F3'><th>Id</th><td>251842</td></tr><tr bgcolor='#E3E3F3'><th>Nom</th><td>08086</td></tr><tr bgcolor='#E3E3F3'><th>Lat.</th><td>50.0733</td></tr><tr bgcolor='#E3E3F3'><th>Lon.</th><td>4.5121</td></tr><tr bgcolor='#E3E3F3'><th>N° rue</th><td>7</td></tr><tr bgcolor='#E3E3F3'><th>Rue</th><td>Rue Du Lion</td></tr><tr bgcolor='#E3E3F3'><th>Commune</th><td>Couvin</td></tr><tr bgcolor='#E3E3F3'><th>Code postal</th><td>5660</td></tr><tr bgcolor='#E3E3F3'><th>Date création</th><td>2019-09-13 09:14:20</td></tr><tr bgcolor='#E3E3F3'><th>Date modification</th><td></td></tr><tr bgcolor='#E3E3F3'><th>Temps de collecte</th><td>300</td></tr><tr bgcolor='#E3E3F3'><th>Poids max</th><td>900</td></tr><tr bgcolor='#E3E3F3'><th>Instructions</th><td>Parc conteneur</td></tr></table></center>;"{""coordinates"": [4.5121, 50.0733], ""type"": ""Point""}";251842;08086;50.0733;4.5121;7;Rue Du Lion;Couvin;5660;2019-09-13 09:14:20;;300;900;Parc conteneur;50.0733,4.5121
27401;<center><table><tr bgcolor='#E3E3F3'><th>Id</th><td>32128</td></tr><tr bgcolor='#E3E3F3'><th>Nom</th><td>27401</td></tr><tr bgcolor='#E3E3F3'><th>Lat.</th><td>50.4553</td></tr><tr bgcolor='#E3E3F3'><th>Lon.</th><td>4.86822</td></tr><tr bgcolor='#E3E3F3'><th>N° rue</th><td>50</td></tr><tr bgcolor='#E3E3F3'><th>Rue</th><td>RUE DE COPPIN</td></tr><tr bgcolor='#E3E3F3'><th>Commune</th><td>NAMUR</td></tr><tr bgcolor='#E3E3F3'><th>Code postal</th><td>5100</td></tr><tr bgcolor='#E3E3F3'><th>Date création</th><td>2014-06-25 15:02:42</td></tr><tr bgcolor='#E3E3F3'><th>Date modification</th><td>2015-08-21 09:57:21</td></tr><tr bgcolor='#E3E3F3'><th>Temps de collecte</th><td>300</td></tr><tr bgcolor='#E3E3F3'><th>Poids max</th><td>900</td></tr><tr bgcolor='#E3E3F3'><th>Instructions</th><td>Place de Saint-Calixte</td></tr></table></center>;"{""coordinates"": [4.86822, 50.4553], ""type"": ""Point""}";32128;27401;50.4553;4.86822;50;RUE DE COPPIN;NAMUR;5100;2014-06-25 15:02:42;2015-08-21 09:57:21;300;900;Place de Saint-Calixte;50.4553,4.86822
2049;<center><table><tr bgcolor='#E3E3F3'><th>Id</th><td>32224</td></tr><tr bgcolor='#E3E3F3'><th>Nom</th><td>2049</td></tr><tr bgcolor='#E3E3F3'><th>Lat.</th><td>50.3181</td></tr><tr bgcolor='#E3E3F3'><th>Lon.</th><td>4.85366</td></tr><tr bgcolor='#E3E3F3'><th>N° rue</th><td></td></tr><tr bgcolor='#E3E3F3'><th>Rue</th><td>RUE DE LA MOLIGNÉE</td></tr><tr bgcolor='#E3E3F3'><th>Commune</th><td>ANHÉE</td></tr><tr bgcolor='#E3E3F3'><th>Code postal</th><td>5537</td></tr><tr bgcolor='#E3E3F3'><th>Date création</th><td>2014-06-25 15:02:49</td></tr><tr bgcolor='#E3E3F3'><th>Date modification</th><td>2015-08-21 09:57:21</td></tr><tr bgcolor='#E3E3F3'><th>Temps de collecte</th><td>300</td></tr><tr bgcolor='#E3E3F3'><th>Poids max</th><td>900</td></tr><tr bgcolor='#E3E3F3'><th>Instructions</th><td>Parc à conteneurs ( Route de la Molignée)</td></tr></table></center>;"{""coordinates"": [4.85366, 50.3181], ""type"": ""Point""}";32224;2049;50.3181;4.85366;;RUE DE LA MOLIGNÉE;ANHÉE;5537;2014-06-25 15:02:49;2015-08-21 09:57:21;300;900;Parc à conteneurs ( Route de la Molignée);50.3181,4.85366
27654;<center><table><tr bgcolor='#E3E3F3'><th>Id</th><td>251852</td></tr><tr bgcolor='#E3E3F3'><th>Nom</th><td>27654</td></tr><tr bgcolor='#E3E3F3'><th>Lat.</th><td>50.4324</td></tr><tr bgcolor='#E3E3F3'><th>Lon.</th><td>4.81877</td></tr><tr bgcolor='#E3E3F3'><th>N° rue</th><td></td></tr><tr bgcolor='#E3E3F3'><th>Rue</th><td>Avenue de la Vecquée</td></tr><tr bgcolor='#E3E3F3'><th>Commune</th><td>Namur</td></tr><tr bgcolor='#E3E3F3'><th>Code postal</th><td>5020</td></tr><tr bgcolor='#E3E3F3'><th>Date création</th><td>2019-09-13 10:46:29</td></tr><tr bgcolor='#E3E3F3'><th>Date modification</th><td>2019-09-13 10:47:50</td></tr><tr bgcolor='#E3E3F3'><th>Temps de collecte</th><td>300</td></tr><tr bgcolor='#E3E3F3'><th>Poids max</th><td>900</td></tr><tr bgcolor='#E3E3F3'><th>Instructions</th><td></td></tr></table></center>;"{""coordinates"": [4.81877, 50.4324], ""type"": ""Point""}";251852;27654;50.4324;4.81877;;Avenue de la Vecquée;Namur;5020;2019-09-13 10:46:29;2019-09-13 10:47:50;300;900;;50.4324,4.81877
