Cimetière;Localité;Code postal;Nom de rue;No d'habitation;Horaire;Végétalisation;Surface cimetière;Nbre Emplacements;Nbre SIHL (Sépultures d'Importance Historique Locale);Nbre Pelouses d'honneur;Nbre Cavurnes;Nbre Columbariums;Nbre Calvaires;Nbre Chapelles;Nbre Aires dispersion;Nbre Caveaux d'attente;Lien vers carto Cimetières en ligne;Images;Code rue;GID;Code Cimetière;Accès Point d'eau;Accès Electricité;Accès Handicapés;Code ins Localité;Geo Point;Geo Shape
Naninne;NANINNE;5100;Rue Badoux;31;du 01/03 au 01/11 (de 8h à 18h) après Toussaint (de 8h à 17h);Minéralisé ou partiellement végétalisé;4452.982390794846;438;0;0;0;1;0;0;1;1;https://carto.ville.namur.be/public/tmpl/apppublic/?CTX=Appli%20Cimeti%C3%A8res%20-%20Opendata&KEY=CIM_CIMETIERES*24&CONFIGNAME=Elyx%20Cimeti%C3%A8re%20Consult&;https://data.namur.be/api/v2/catalog/datasets/namur-cimetieres/files/bf6fbad54ed9867a452e3b65435589a9;;24;22;OUI;OUI;OUI;92095;50.41912967601174,4.91370404865477;"{""coordinates"": [[[4.9142418062, 50.4194369119], [4.9131690248, 50.4193583991], [4.9131015859, 50.4190088436], [4.913093943, 50.4189692319], [4.9141282956, 50.418766334], [4.9141282493, 50.4187753922], [4.9141325097, 50.4188048127], [4.9142096169, 50.4192507497], [4.9142418062, 50.4194369119]]], ""type"": ""Polygon""}"
Vedrin Centre;VEDRIN;5020;Rue Gustave Guidet;;du 01/03 au 01/11 (de 8h à 18h) après Toussaint (de 8h à 17h);Minéralisé ou partiellement végétalisé;8157.205849999714;988;0;0;0;2;0;0;1;1;https://carto.ville.namur.be/public/tmpl/apppublic/?CTX=Appli%20Cimeti%C3%A8res%20-%20Opendata&KEY=CIM_CIMETIERES*25&CONFIGNAME=Elyx%20Cimeti%C3%A8re%20Consult&;https://data.namur.be/api/v2/catalog/datasets/namur-cimetieres/files/cbb3b16fd1b32f8279f07116586dc668;;25;26;;;;92128;50.503949864440216,4.873799324468087;"{""coordinates"": [[[4.8740138565, 50.5046486496], [4.8733641725, 50.5043627887], [4.8737433358, 50.5039492016], [4.8733242898, 50.5037957564], [4.8728141512, 50.5036130362], [4.8728996875, 50.5035175467], [4.8729504683, 50.5034676994], [4.8731128757, 50.5033102921], [4.8731564641, 50.5033262858], [4.8732931757, 50.5033766683], [4.8734178503, 50.5034218884], [4.8735635936, 50.5034731304], [4.8736032258, 50.5034882421], [4.8736373279, 50.5035003209], [4.8736762429, 50.5035142669], [4.8743583153, 50.5037582697], [4.8744467586, 50.5037898909], [4.8746632688, 50.5038673455], [4.8746469888, 50.5038872852], [4.8746468498, 50.5038874656], [4.8743365638, 50.5042685705], [4.8743261502, 50.5042834499], [4.8741296853, 50.5045121212], [4.8740138565, 50.5046486496]]], ""type"": ""Polygon""}"
Dave;DAVE;5100;Rue de Naninne;50;du 01/03 au 01/11 (de 8h à 18h) après Toussaint (de 8h à 17h);Minéralisé ou partiellement végétalisé;5053.364695255151;548;0;50;0;2;1;0;2;1;https://carto.ville.namur.be/public/tmpl/apppublic/?CTX=Appli%20Cimeti%C3%A8res%20-%20Opendata&KEY=CIM_CIMETIERES*29&CONFIGNAME=Elyx%20Cimeti%C3%A8re%20Consult&;https://data.namur.be/api/v2/catalog/datasets/namur-cimetieres/files/7f526e367ebe2b8e82da75482d81426a;;29;10;OUI;OUI;NON;92032;50.41752297701551,4.89137300553527;"{""coordinates"": [[[4.8908033804, 50.4178347294], [4.8908025727, 50.4177422651], [4.8908023472, 50.4177217947], [4.8908005546, 50.4176975399], [4.8907974025, 50.4176377597], [4.8907670174, 50.4173474897], [4.8907640724, 50.417221058], [4.8909674679, 50.4172926788], [4.8911913063, 50.4172766015], [4.8912220499, 50.4172743935], [4.8913463194, 50.4172654674], [4.8913737571, 50.4172615498], [4.891952474, 50.4172100653], [4.8919796498, 50.4177154413], [4.8919852622, 50.4177519564], [4.8908033804, 50.4178347294]]], ""type"": ""Polygon""}"
Flawinne nouveau;FLAWINNE;5020;Rue Château des 4 Seigneurs;20;du 01/03 au 01/11 (de 8h à 18h) après Toussaint (de 8h à 17h);Minéralisé ou partiellement végétalisé;9899.444791705853;1515;0;0;4;3;0;0;1;1;https://carto.ville.namur.be/public/tmpl/apppublic/?CTX=Appli%20Cimeti%C3%A8res%20-%20Opendata&KEY=CIM_CIMETIERES*33&CONFIGNAME=Elyx%20Cimeti%C3%A8re%20Consult&;https://data.namur.be/api/v2/catalog/datasets/namur-cimetieres/files/cb514fcb10a36768e774137cf6843d54;;33;12;;;;92043;50.457907069314835,4.785823399390067;"{""coordinates"": [[[4.7851379646, 50.4584585761], [4.7853196328, 50.4575537887], [4.7857877523, 50.4572010299], [4.7866443161, 50.457665706], [4.7864043035, 50.4578438057], [4.7862854406, 50.4584465157], [4.7851379646, 50.4584585761]]], ""type"": ""Polygon""}"
La Plante;NAMUR;5000;Chemin de la Caracole;4;du 01/03 au 01/11 (de 8h à 18h) après Toussaint (de 8h à 17h);Végétalisé;3739.933208419834;485;32;0;0;0;0;0;1;1;https://carto.ville.namur.be/public/tmpl/apppublic/?CTX=Appli%20Cimeti%C3%A8res%20-%20Opendata&KEY=CIM_CIMETIERES*38&CONFIGNAME=Elyx%20Cimeti%C3%A8re%20Consult&;https://data.namur.be/api/v2/catalog/datasets/namur-cimetieres/files/164ec6c7d382a81e02d69bfd6fad5684;;38;21;OUI;OUI;NON;92094;50.439750218144844,4.857303517528372;"{""coordinates"": [[[4.8578428718, 50.4402053572], [4.8577183281, 50.4401709438], [4.8577258415, 50.4401630374], [4.8576542561, 50.4401403402], [4.857658095, 50.4401365076], [4.8573531405, 50.4400438091], [4.8568352664, 50.4398845548], [4.8567178739, 50.4398484479], [4.8570074256, 50.4396431706], [4.8568452402, 50.4395533074], [4.8569023021, 50.4395424506], [4.8569317635, 50.439535984], [4.8569836989, 50.4395154965], [4.8570270146, 50.4394917359], [4.8570454892, 50.4394758007], [4.8570863987, 50.4394218538], [4.8571287778, 50.4393681758], [4.8571569613, 50.4393393767], [4.8571839929, 50.4393205106], [4.8572133745, 50.4393063222], [4.8572622173, 50.4392905362], [4.8572925288, 50.439285169], [4.8573015169, 50.4392836145], [4.8573411755, 50.4392910311], [4.8573576428, 50.4393039225], [4.8574096166, 50.4393683724], [4.8574604039, 50.4394415526], [4.8574664349, 50.4394531627], [4.8577738719, 50.4400450641], [4.8578050784, 50.4400968662], [4.8578428718, 50.4402053572]]], ""type"": ""Polygon""}"
Malonne;MALONNE;5020;Rue du Tombois;31;du 01/03 au 01/11 (de 8h à 18h) après Toussaint (de 8h à 17h);Minéralisé ou partiellement végétalisé;9899.392800000667;1466;0;33;0;5;0;4;1;1;https://carto.ville.namur.be/public/tmpl/apppublic/?CTX=Appli%20Cimeti%C3%A8res%20-%20Opendata&KEY=CIM_CIMETIERES*39&CONFIGNAME=Elyx%20Cimeti%C3%A8re%20Consult&;https://data.namur.be/api/v2/catalog/datasets/namur-cimetieres/files/635f5853e8401b99789ab51b2c7fd310;;39;18;;;;92082;50.43773767513796,4.793262018174256;"{""coordinates"": [[[4.7938904184, 50.4378879724], [4.7942307304, 50.4378954463], [4.794231426, 50.4379101881], [4.7941076257, 50.4379502897], [4.794010207, 50.4379811243], [4.7939047775, 50.4380134266], [4.7939735695, 50.4382121333], [4.793814103, 50.4382467013], [4.7936893278, 50.4382724213], [4.7935661049, 50.438298585], [4.7934493395, 50.438322747], [4.793354224, 50.4383436831], [4.7929873622, 50.4381228704], [4.7926877093, 50.4379241972], [4.792567777, 50.4378461485], [4.7925387307, 50.437825127], [4.7925277814, 50.4377813835], [4.7925203721, 50.4377556978], [4.7924717188, 50.4375571864], [4.7924813198, 50.4375289214], [4.7924895791, 50.4375080334], [4.7925159592, 50.4374356538], [4.7925640426, 50.4373031388], [4.7925800575, 50.4372680176], [4.7926011929, 50.4372073448], [4.7928446457, 50.4372300105], [4.7933391386, 50.4372736946], [4.7937155679, 50.437306301], [4.793734301, 50.4373074911], [4.7938503884, 50.4373178545], [4.7938550062, 50.4374715744], [4.793854818, 50.4374976474], [4.7938585743, 50.4376494824], [4.7938596545, 50.4378011474], [4.793859887, 50.4378270391], [4.7938904342, 50.4378270171], [4.7938904184, 50.4378879724]]], ""type"": ""Polygon""}"
Flawinne ancien;FLAWINNE;5020;Rue Marcel Vandy;;du 01/03 au 01/11 (de 8h à 18h) après Toussaint (de 8h à 17h);Minéralisé ou partiellement végétalisé;6279.59928986473;937;0;1;0;1;0;2;1;1;https://carto.ville.namur.be/public/tmpl/apppublic/?CTX=Appli%20Cimeti%C3%A8res%20-%20Opendata&KEY=CIM_CIMETIERES*2&CONFIGNAME=Elyx%20Cimeti%C3%A8re%20Consult&;https://data.namur.be/api/v2/catalog/datasets/namur-cimetieres/files/ee5c0ad1a3751ed7e38c9a0c406314a9;;2;13;;;;92043;50.45676134638922,4.810719203662822;"{""coordinates"": [[[4.8101224264, 50.457212743], [4.8101144279, 50.4572072254], [4.8100792815, 50.457162707], [4.8099515532, 50.4570929806], [4.8099338895, 50.4570823041], [4.8099755128, 50.4570445381], [4.8099451221, 50.4569389395], [4.8100622737, 50.4569094211], [4.8100956737, 50.4569056252], [4.8101103077, 50.4568351574], [4.810135658, 50.4567285261], [4.810183213, 50.4565284861], [4.8102172365, 50.4565242167], [4.810431769, 50.4564972945], [4.8106765859, 50.4564665716], [4.8109273919, 50.4564350962], [4.8112162071, 50.4563988498], [4.8112587148, 50.4563934923], [4.8113076653, 50.4563873721], [4.8115787174, 50.4564584422], [4.8115188431, 50.4566818132], [4.8114733944, 50.4568515461], [4.8109119181, 50.4568671708], [4.8107167809, 50.4568725887], [4.8107436285, 50.4570330557], [4.8105481854, 50.4571868166], [4.8104643398, 50.4571963058], [4.8104649468, 50.4572009785], [4.8101224264, 50.457212743]]], ""type"": ""Polygon""}"
Wierde;WIERDE;5100;Fond du Village;30;du 01/03 au 01/11 (de 8h à 18h) après Toussaint (de 8h à 17h);Végétalisé;1726.1588999998667;129;0;0;0;1;0;0;1;1;https://carto.ville.namur.be/public/tmpl/apppublic/?CTX=Appli%20Cimeti%C3%A8res%20-%20Opendata&KEY=CIM_CIMETIERES*12&CONFIGNAME=Elyx%20Cimeti%C3%A8re%20Consult&;https://data.namur.be/api/v2/catalog/datasets/namur-cimetieres/files/04a18a537d3904244ee262d9e5d9ac47;;12;30;OUI;NON;OUI;92136;50.42527316695114,4.950421114465206;"{""coordinates"": [[[4.9506318707, 50.4254551203], [4.9505552287, 50.4255172698], [4.9504198443, 50.4255061705], [4.9504070552, 50.4255190911], [4.9500694828, 50.4253400709], [4.9500899078, 50.4253071529], [4.9502004255, 50.4251613114], [4.9504319521, 50.4249448267], [4.9505296391, 50.4250493475], [4.9505294079, 50.4250649024], [4.9506144728, 50.4251500666], [4.9506678914, 50.4252023938], [4.9506914848, 50.4252555898], [4.9507155191, 50.425310312], [4.9507224715, 50.4253836404], [4.9506824536, 50.4254140494], [4.9506318707, 50.4254551203]]], ""type"": ""Polygon""}"
Wartet;MARCHE-LES-DAMES;5020;Rue de Rangnet;;du 01/03 au 01/11 (de 8h à 18h) après Toussaint (de 8h à 17h);Végétalisé;2993.5490473239242;404;0;0;0;1;1;0;2;1;https://carto.ville.namur.be/public/tmpl/apppublic/?CTX=Appli%20Cimeti%C3%A8res%20-%20Opendata&KEY=CIM_CIMETIERES*15&CONFIGNAME=Elyx%20Cimeti%C3%A8re%20Consult&;https://data.namur.be/api/v2/catalog/datasets/namur-cimetieres/files/226b9783bfb6c1771212ee698c4c26f7;;15;28;OUI;NON;OUI;92083;50.493806218248935,4.969531904546325;"{""coordinates"": [[[4.9699008304, 50.4940847289], [4.9697131054, 50.4940460952], [4.9689678578, 50.4938927212], [4.9691575914, 50.493527533], [4.9701002944, 50.4937210388], [4.9699008304, 50.4940847289]]], ""type"": ""Polygon""}"
"Namur DDB (""dit de Belgrade"")";SAINT-SERVAIS;5002;Chaussée de Waterloo;436;du 01/03 au 01/11 (de 8h à 18h) après Toussaint (de 8h à 17h);Végétalisé;87347.54620000006;11592;0;596;168;12;0;18;7;1;https://carto.ville.namur.be/public/tmpl/apppublic/?CTX=Appli%20Cimeti%C3%A8res%20-%20Opendata&KEY=CIM_CIMETIERES*18&CONFIGNAME=Elyx%20Cimeti%C3%A8re%20Consult&;https://data.namur.be/api/v2/catalog/datasets/namur-cimetieres/files/28fc371155d9165ea53adc8d5a72454d;;18;20;OUI;OUI;OUI;92108;50.47408479267098,4.833258123017981;"{""coordinates"": [[[4.8343676906, 50.4760170085], [4.8343442993, 50.4760165628], [4.8343176129, 50.4760105563], [4.8335646597, 50.4757030415], [4.8321882434, 50.4751444802], [4.8317148204, 50.4749514552], [4.8313734525, 50.4748062709], [4.8308400253, 50.474570417], [4.8304103401, 50.4743828767], [4.8303511913, 50.4743561404], [4.8303977701, 50.4743218816], [4.8306558876, 50.4741079624], [4.8307161224, 50.4740583655], [4.83072698, 50.4733090599], [4.8310232824, 50.473312916], [4.8312280033, 50.4733156075], [4.8323971365, 50.4733292883], [4.8324544854, 50.4733304979], [4.8324961987, 50.4725125618], [4.8330840335, 50.47252325], [4.8335191263, 50.4725305007], [4.8335188715, 50.4725189041], [4.8336804751, 50.4725209546], [4.833680442, 50.4725319231], [4.83398126, 50.4725370122], [4.8339818309, 50.4725234344], [4.8341437393, 50.4725278206], [4.8341450858, 50.4725358167], [4.8351686958, 50.4725514009], [4.8351458644, 50.4731792945], [4.8351298525, 50.4736415569], [4.8351172958, 50.4741971261], [4.8355343571, 50.4743599762], [4.8352183157, 50.4746982068], [4.8350111482, 50.4749625479], [4.8348809155, 50.4751426093], [4.8347657619, 50.4753232395], [4.8347053414, 50.4754252535], [4.8346225329, 50.475585795], [4.8345329871, 50.4757632654], [4.8344474506, 50.4759616674], [4.8344396691, 50.4759869617], [4.8344318771, 50.4759968824], [4.8344192776, 50.4760050243], [4.8344042725, 50.476012097], [4.8343904999, 50.4760155685], [4.8343676906, 50.4760170085]]], ""type"": ""Polygon""}"
